"ÃÂÂIndex","Address","City","State","Zipcode","AUTO_UNIQUE_ID_2019-12-02_dbmsmsba_nyc","Source","UpdatedGeocoding","TimeTaken","TransactionId","Version","ErrorMessage","Latitude","Longitude","MatchType","MatchedLocationType","FeatureMatchingResultType","InterpolationType","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","GeocodeQualityType","FeatureMatchingHierarchy","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","FeatureMatchingResultTypeTieBreakingNotes","TieHandlingStrategyType","RegionSize","RegionSizeUnits","naaccrQualCode","naaccrQualType"
"151","2884 Broadway NYC","New York","NY","",32,"USCGeocoder",1,140.6161,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"161","250 W 78th St NYC","New York","NY","",33,"USCGeocoder",1,234.352,"","4.1","",40.7832398,-73.9809124,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"165","970 Madison Ave NYC","New York","NY","",34,"USCGeocoder",1,546.7166,"","4.1","",40.7743,-73.9638,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"172","475 10th Ave NYC","New York","NY","",35,"USCGeocoder",1,265.5964,"","4.1","",40.667234,-73.9837616,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","91.4201183431953","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"176","W Forsyth St NYC","New York","NY","",36,"USCGeocoder",1,15.6259,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"177","15 W 47th St NYC","New York","NY","",37,"USCGeocoder",1,218.6605,"","4.1","",40.7572069,-73.9796109,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"180","315 W 90th St NYC","New York","NY","",38,"USCGeocoder",1,265.601,"","4.1","",40.7918218,-73.9766219,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"194","50 E 57th St NYC","New York","NY","",39,"USCGeocoder",1,859.3432,"","4.1","",40.7617218,-73.971422,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"199","N E 90th St NYC","New York","NY","",40,"USCGeocoder",1,31.2706,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"201","S W 47th St NYC","New York","NY","",41,"USCGeocoder",1,15.6756,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"206","604 Riverside Dr NYC","New York","NY","",42,"USCGeocoder",1,593.5323,"","4.1","",40.8226,-73.9557,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"209","155 W 118th St NYC","New York","NY","",43,"USCGeocoder",1,375.0008,"","4.1","",40.8043615,-73.9508585,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"210","130 Lenox Ave NYC","New York","NY","",44,"USCGeocoder",1,562.496,"","4.1","",40.8023,-73.9491,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"220","50 W 58th St NYC","New York","NY","",45,"USCGeocoder",1,171.8648,"","4.1","",40.7645416,-73.9758676,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"234","22 Ludlow St NYC","New York","NY","",46,"USCGeocoder",1,1078.1962,"","4.1","",40.7153,-73.9907,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","4","","ReturnAll","0","Meters","00","AddressPoint"
"237","4 E 89th St NYC","New York","NY","",47,"USCGeocoder",1,187.7069,"","4.1","",40.7831136,-73.9584302,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"238","320 5th Ave NYC","New York","NY","",48,"USCGeocoder",1,578.1268,"","4.1","",40.7474765,-73.9854792,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"239","38 E 58th St NYC","New York","NY","",49,"USCGeocoder",1,546.8633,"","4.1","",40.7627251,-73.9715478,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"243","433 E 79th St NYC","New York","NY","",50,"USCGeocoder",1,140.6498,"","4.1","",40.7721114372052,-73.9519120527897,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","LinearInterpolation","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","AddressRangeInterpolation","FeatureClassBased","","","1","","ReturnAll","4659.96665512491","Meters","03","StreetSegmentInterpolation"
"245","1572 2nd Ave NYC","New York","NY","",51,"USCGeocoder",1,203.0245,"","4.1","",40.7749946,-73.9536259,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"249","795 Madison Ave NYC","New York","NY","",52,"USCGeocoder",1,515.6215,"","4.1","",40.7687,-73.9675,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"253","88 Delancey St NYC","New York","NY","",53,"USCGeocoder",1,484.3759,"","4.1","",40.7192,-73.9894,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"259","100 E 118th St NYC","New York","NY","",54,"USCGeocoder",1,296.8542,"","4.1","",40.8033981,-73.9491602,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","93.1952662721894","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"276","171 E 101st St NYC","New York","NY","",55,"USCGeocoder",1,250.0042,"","4.1","",40.7889036,-73.9479827,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"283","149 W 4th St NYC","New York","NY","",56,"USCGeocoder",1,203.1156,"","4.1","",40.7315913,-74.0004923,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"301","1323 St Nicholas Ave NYC","New York","NY","",57,"USCGeocoder",1,187.6032,"","4.1","",40.8463322,-73.9361446,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"307","1001 5th Ave NYC","New York","NY","",58,"USCGeocoder",1,203.1377,"","4.1","",40.7786507,-73.9623019,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"321","341 E 33rd St NYC","New York","NY","",59,"USCGeocoder",1,203.1315,"","4.1","",40.743515,-73.9746843,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"343","140 Cabrini Blvd NYC","New York","NY","",60,"USCGeocoder",1,609.3858,"","4.1","",40.8528,-73.9399,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"349","315 W 57th St NYC","New York","NY","",61,"USCGeocoder",1,218.7363,"","4.1","",40.7672853,-73.9837613,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"350","91 Avenue A NYC","New York","NY","",62,"USCGeocoder",1,187.6369,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"353","140 EDGECOMBE AVE NYC","New York","NY","",63,"USCGeocoder",1,546.8797,"","4.1","",40.8213,-73.9446,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"361","E Pearl St NYC","New York","NY","",64,"USCGeocoder",1,15.669,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"365","517 W 169th St NYC","New York","NY","",65,"USCGeocoder",1,265.5794,"","4.1","",40.8409593,-73.937356,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"371","1456 1st Ave NYC","New York","NY","",66,"USCGeocoder",1,234.3639,"","4.1","",40.7700967,-73.9540906,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"372","315 W 28th St NYC","New York","NY","",67,"USCGeocoder",1,250.0079,"","4.1","",40.6426444,-73.950448,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","93.1952662721894","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"378","6 E 45th St NYC","New York","NY","",68,"USCGeocoder",1,234.2832,"","4.1","",40.7550094,-73.9788438,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"388","155 W 70th St NYC","New York","NY","",69,"USCGeocoder",1,437.5266,"","4.1","",40.7690319,-73.9627127,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","93.1952662721894","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"389","744 Washington St NYC","New York","NY","",70,"USCGeocoder",1,390.5319,"","4.1","",40.7366,-74.0084,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"397","1588 1st Ave NYC","New York","NY","",71,"USCGeocoder",1,218.7482,"","4.1","",40.7746278,-73.9507976,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"402","325 South End Ave NYC","New York","NY","",72,"USCGeocoder",1,874.9036,"","4.1","",40.7106791,-74.0163336,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"407","410 Columbus Ave NYC","New York","NY","",73,"USCGeocoder",1,515.5999,"","4.1","",40.7824,-73.9754,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"411","1289 Madison Ave NYC","New York","NY","",74,"USCGeocoder",1,499.9815,"","4.1","",40.7844,-73.956,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
